Fabric Family,Style name,Main Fabric 1 Name,Main Fabric 1 Consumption cm,Main Fabric 2 Name,Main Fabric 2 Consumption cm,Lining Fabric,Lining Consumption cm,Style Status,Last Updated By,Last Updated Time,Main Fabric 1 Consumption m,Main Fabric 2 Consumption m,Lining Consumption m
Valerie/Vixen,Valerie Top,scuba,25,,0,,0,Active,,,0.25,0.0,0.0
Ivory/Snow,Ivory Trousers,banana crepe,150,,0,,0,Active,,,1.5,0.0,0.0
Ivory/Snow,Ivory Shorts,banana crepe,70,,0,hoisery,25,Active,,,0.7,0.0,0.25
Ivory/Snow,Ivory Waistcoat,banana crepe,90,,0,,0,Active,,,0.9,0.0,0.0
Ivory/Snow,Ivory Top,banana crepe,50,,0,,0,Active,,,0.5,0.0,0.0
Ivory/Snow,Snow Waistcoat,banana crepe,45,,0,hoisery,45,Active,,,0.45,0.0,0.45
Ivory/Snow,Snow Flared Trousers,banana crepe,165,,0,,0,Active,,,1.65,0.0,0.0
Ivory/Snow,Snow Skort,banana crepe,70,,0,,0,Active,,,0.7,0.0,0.0
Ivory/Snow,Snow Blazer,banana crepe,175,,0,hoisery,175,Active,,,1.75,0.0,1.75
Eve,Eve Top,lycra,55,,0,,0,Active,,,0.55,0.0,0.0
Eve,Eve Dress,lycra,90,,0,,0,Active,,,0.9,0.0,0.0
Eve,Eve Long Sleeve Top,lycra,70,,0,,0,Active,,,0.7,0.0,0.0
Eve,Eve Skirt,lycra,75,,0,,0,Active,,,0.75,0.0,0.0
Sierra,Sierra Skirt,satin,190,,0,,0,Active,,,1.9,0.0,0.0
Sierra,Sierra Top,satin,110,,0,,0,Active,,,1.1,0.0,0.0
Sierra,Sierra Bralet,satin,30,,0,black satin,25,Active,,,0.3,0.0,0.25
Sierra,Sierra Scarf,satin,57,,0,,0,Active,,,0.57,0.0,0.0
Camel/Sand,Camel Waistcoat,banana crepe,90,,0,hoisery,60,Active,,,0.9,0.0,0.6
Camel/Sand,Camel Skort,banana crepe,70,,0,,0,Active,,,0.7,0.0,0.0
Camel/Sand,Camel Flared Trousers,banana crepe,165,,0,,0,Active,,,1.65,0.0,0.0
Camel/Sand,Sand Trousers,banana crepe,150,,0,,0,Active,,,1.5,0.0,0.0
Cooper ,Cooper Shirt,cotton,175,,0,,0,Active,,,1.75,0.0,0.0
Sally,Sally Top,cotton,145,,0,,0,Active,,,1.45,0.0,0.0
Sally,Sally Waistcoat,cotton,75,,0,,0,Active,,,0.75,0.0,0.0
Sally,Sally Shorts,cotton,65,,0,,0,Active,,,0.65,0.0,0.0
Onyx ,Onyx Skirt,sequin fabric,45,,0,hosiery,45,Active,,,0.45,0.0,0.45
Pixie,Pixie Skirt,sequin fabric,45,,0,hosiery,45,Active,,,0.45,0.0,0.45
Jalebi,Jalebi Corset,brocade,34,,0,satin,44,Active,,,0.34,0.0,0.44
Rani,Rani Corset,brocade,45,,0,satin,55,Active,,,0.45,0.0,0.55
Riley,Riley Top,cotton,110,,0,,0,Active,,,1.1,0.0,0.0
Riley,Riley Shirt,cotton,170,,0,,0,Active,,,1.7,0.0,0.0
Riley,Riley Trousers,cotton,250,,0,,0,Active,,,2.5,0.0,0.0
Sona,Sona Corset,brocade,40,,0,satin,70,Active,,,0.4,0.0,0.7
Halo,Halo Top,sequin fabric,42,,0,hosiery,48,Active,,,0.42,0.0,0.48
Halo,Halo Dress,sequin fabric,89,,0,hosiery,89,Active,,,0.89,0.0,0.89
Pista,Pista Top,embroidered net,54,,0,satin,30,Active,,,0.54,0.0,0.3
Ibiza,Ibiza Top,embroidered net,65,,0,satin,30,Active,,,0.65,0.0,0.3
Ibiza,Ibiza Skirt,embroidered net,75,,0,satin,75,Active,,,0.75,0.0,0.75
Sasha,Sasha Top,sequin fabric,25,,0,satin,15,Active,,,0.25,0.0,0.15
Plum,Plum Top,sequin fabric,175,,0,satin,70,Active,,,1.75,0.0,0.7
Slate,Slate Top,cotton,70,,0,bianca,25,Active,,,0.7,0.0,0.25
Slate,Slate Pants,cotton,165,,0,,0,Active,,,1.65,0.0,0.0
Bianca,Bianca Top,rayon,100,,0,,0,Active,,,1.0,0.0,0.0
Nara ,Nara Dress,satin,200,,0,,0,Archived,,,2.0,0.0,0.0
